sample,depth,grain_number,raw_Ahe_age,raw_Ahe_age_SE,AHe_age_corr,AHe_age_corr_SE,grain_radius,U,Th,Sm,Shape,Transparent,length_um,width_um,color,even_surface
B15,0,1,5.053309775,0.404264797,6.556874275,0.524549961,73.4925,78.9,298.2,149.2,1,F,177,146,blue,T
B15,0,2,3.769437551,0.301554997,5.168935776,0.413514853,61.435,6.2,158.7,24.4,1,T,162,121,blue,T
B15,0,3,2.999987976,0.239999037,4.301496983,0.344119757,50.59,72.9,242.7,74.5,0,T,164,101,blue,F
B15,0,4,3.978207672,0.318256619,4.76644516,0.381315619,120.525,2.4,171.1,21.8,1,F,235,225,blue,F
B25,0,1,5.315208543,0.425216679,7.690695763,0.615255654,43.6175,15.3,3.6,19.9,2,T,106,87,brown,F
B25,0,2,4.329755859,0.346380452,6.880698681,0.550455868,41.1475,8.8,55.1,17.4,1,T,110,86,brown,F
B25,0,3,5.539178623,0.443134282,8.780708313,0.702456653,47.19,8.2,10.6,15.3,2,T,131,94,brown,T
B35,0,1,6.449160121,0.515932823,8.29813385,0.663850725,74.155,13,235.4,57.2,1,T,213,148,blue,F
B35,0,2,2.707895457,0.216631637,3.454577923,0.276366234,97.165,11.5,128.5,45.5,0,T,193,159,blue,F
B35,0,3,3.70537544,0.296430042,4.780280113,0.382422417,89.145,29,146.5,63.9,1,T,177,152,blue,F
B35x,0,4,16.67095402,1.33367629,20.38935471,1.631148338,112.8675,15.6,132.4,32.3,1,T,225,191,blue,F
B40,0,2,6.709369132,0.536749513,9.140305519,0.731224418,56.855,14.4,64,48.7,r,F,156,122,,F
B40x,0,1,23.26238197,1.860990558,29.90293503,2.392234802,48.265,3.4,4,17.4,2,T,148,99,,T
B40x,0,3,42.97784443,3.438227594,61.85356903,4.94828558,73.265,59.3,308.6,75.9,1,F,157,153,,F
B45,0,1,4.456304984,0.356504402,6.159163952,0.492733121,69.0025,6.5,16.3,30.3,1,F,138,123,brown,F
B45,0,2,4.181771688,0.334541733,5.990164757,0.479213178,56.34,8.4,156,25,0,T,130,112,violet,F
B45,0,3,8.992916801,0.719433322,11.70758343,0.936606646,85.63,50.6,131.6,56,1,F,170,148,blue,T
B45,0,4,6.898891661,0.55191135,9.848971367,0.787917733,50.2725,6.7,7.4,18.3,0,T,151,100,violet,T
B50,0,1,4.721498568,0.377719874,6.739212036,0.539136946,54.3375,24.9,69.2,86.1,1,F,138,123,violet,T
B50,0,2,6.688956688,0.535116527,9.719004631,0.777520359,52.7675,13.9,16.1,22.1,1,F,130,112,violet,F
B50,0,4,9.722331846,0.777786535,14.10629177,1.128503323,63.495,22.9,38.6,81,r,F,151,100,blue,F
B50x,0,3,29.87171124,2.389736956,40.0946846,3.207574844,87.3875,1.8,12,19.3,1,F,175,129,violet,F
B55,0,1,12.27632062,0.982105653,16.91938782,1.35355103,50.2725,38.1,45.2,47.9,2,T,256,100,brown,T
B55,0,2,5.792923058,0.347575397,8.444555283,0.506673336,45.7175,29.6,26.9,53.4,2,T,164,91,brown,T
B55,0,3,14.80062125,0.888037314,21.93124199,1.315874577,44.56,132,92.4,75.3,1,T,145,89,brown,T
