,location,borehole,long,lat,x_swiss_grid,y_swiss_grid
25,Huenenberg,Huenenberg,8.4347466574,47.1679846484,675522.032259,224592.555518
28,MRP025,,8.5767199611,47.0533831835,686470.005288,211999.522961
33,MRP170,,8.485709014,47.0571278126,679550.026034,212319.511898
34,MRP172,,8.509302741,47.0488139786,681355.020599,211419.511014
35,MRP174,,8.5326673771,47.0554306163,683120.014731,212179.516955
41,RH10,,8.4971291788,47.0083320881,680490.769997,206906.9045
42,RH15,,8.4514924324,47.0329457547,676985.32021,209597.232838
43,RH25,,8.4261499695,47.0523388194,675032.070689,211728.492031
44,RH30a,,8.3542405833,47.0417518627,669582.354992,210485.34627
45,RH30b,,8.3542405833,47.0417518627,669582.354992,210485.34627
46,RH35,,8.4087625296,47.0735394534,673681.90004,214068.776065
47,RH40,,8.4009697882,47.0795878233,673081.823056,214733.856996
48,RH45,,8.4167045944,47.0902060161,674261.980946,215929.000681
49,RH50,,8.4139814419,47.1070529819,674031.955478,217799.227412
50,RH60c,,8.3385145565,47.0857618908,668331.202088,215363.936509
51,RH65,,8.380851,47.130224,671486.457694,220344.347073
52,RH70,,8.247937,47.082715,661457.094976,214950.336275
54,RV15,,8.4661409761,47.0440706389,678082.46765,210848.382739
55,RV20,,8.4613497836,47.0426739274,677720.419733,210688.363795
56,RV25,,8.4624946317,47.0426637214,677807.43113,210688.363705
57,RV30a,,8.4510983427,47.0420450577,676942.317599,210608.35493
58,RV30b,,8.4510983427,47.0420450577,676942.317599,210608.35493
59,RV30c,,8.4508419527,47.042407193,676922.315099,210648.35978
60,S1,,8.481814,47.055166,679256.715526,212097.930261
61,S2,,8.46024,47.041345,677638.01809,210538.981632
62,S20,,8.418922,47.043594,674494.912048,210749.050223
63,S3,,8.450385,47.031618,676903.431498,209448.776829
64,S31,,8.496015,47.007007,680407.650341,206758.791478
65,S64,,8.353148,47.040422,669501.204351,210336.323343
66,S7,,8.399869,47.078254,673000.128854,214584.114097
70,Weggis,Weggis,8.4251623972,47.0330155353,674984.041826,209579.496861
