well,sample,depth,n,aft_age,95ci_minus,95ci_plus,P_X2,ref,data_type,length_mean,length_std,n_lengths,long,lat,x_coord_swiss_grid,y_coord_swiss_grid,elevation,max_depth,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel
Altishofen,A193,193.0,20,33.0,6.3,7.8,0.0,Cederbom2011,central_age,,,,7.97253999008297,47.2042293186563,640452.57645,228280.50720300002,480.0,1281.0,26837.24607957336,26837.24607957336,257450.0258409649
Altishofen,A956,956.0,49,24.8,2.7,3.0,0.0,Cederbom2011,central_age,,,,7.97253999008297,47.2042293186563,640452.57645,228280.50720300002,480.0,1281.0,26837.24607957336,26837.24607957336,257450.0258409649
Altishofen,A1190,1190.0,60,30.8,6.3,7.9,0.0,Cederbom2011,central_age,,,,7.97253999008297,47.2042293186563,640452.57645,228280.50720300002,480.0,1281.0,26837.24607957336,26837.24607957336,257450.0258409649
Altishofen,A1281,1281.0,60,31.2,3.3,3.5,0.0,Cederbom2011,central_age,,,,7.97253999008297,47.2042293186563,640452.57645,228280.50720300002,480.0,1281.0,26837.24607957336,26837.24607957336,257450.0258409649
Boswil,B1,57.0,25,29.8,3.6,3.6,0.0,Cederbom2004,central_age,,,,8.251403999999999,47.260486,661515.72437,234715.85117399998,647.5,1817.0,22357.447795935743,22357.447795935743,281997.07286262343
Boswil,B3,492.0,25,33.3,4.8,4.8,0.0,Cederbom2004,central_age,,,,8.251403999999999,47.260486,661515.72437,234715.85117399998,647.5,1817.0,22357.447795935743,22357.447795935743,281997.07286262343
Boswil,B158,840.0,20,27.4,3.6,3.6,0.0,Cederbom2004,central_age,,,,8.251403999999999,47.260486,661515.72437,234715.85117399998,647.5,1817.0,22357.447795935743,22357.447795935743,281997.07286262343
Boswil,B5,850.0,25,28.6,2.8,2.8,27.0,Cederbom2004,central_age,,,,8.251403999999999,47.260486,661515.72437,234715.85117399998,647.5,1817.0,22357.447795935743,22357.447795935743,281997.07286262343
Boswil,B6,1092.0,25,21.6,2.0,2.0,17.0,Cederbom2004,central_age,,,,8.251403999999999,47.260486,661515.72437,234715.85117399998,647.5,1817.0,22357.447795935743,22357.447795935743,281997.07286262343
Boswil,B159,1275.0,26,26.9,2.5,2.5,0.0,Cederbom2004,central_age,,,,8.251403999999999,47.260486,661515.72437,234715.85117399998,647.5,1817.0,22357.447795935743,22357.447795935743,281997.07286262343
