well,gof_T_best,gof_vr_best,gof_aft_best,gof_ahe_best,gof_thermochron_best,cooling_vr_best,cooling_vr_min,cooling_vr_max,cooling_aft_best,cooling_aft_min,cooling_aft_max,cooling_ahe_best,cooling_ahe_min,cooling_ahe_max,exhumation_vr_best,exhumation_vr_min,exhumation_vr_max,exhumation_aft_best,exhumation_aft_min,exhumation_aft_max,exhumation_ahe_best,exhumation_ahe_min,exhumation_ahe_max,heat_flow_vr_best,heat_flow_vr_min,heat_flow_vr_max,heat_flow_aft_best,heat_flow_aft_min,heat_flow_aft_max,heat_flow_ahe_best,heat_flow_ahe_min,heat_flow_ahe_max,gof_ahe_exh2000_best,heat_flow_ahe_exh2000_best,heat_flow_ahe_exh2000_min,heat_flow_ahe_exh2000_max,cooling_thermochron_best,exhumation_thermochron_best,heat_flow_thermochron_best,cooling_thermochron_min,cooling_thermochron_max,exhumation_thermochron_min,exhumation_thermochron_max,heat_flow_thermochron_min,heat_flow_thermochron_max,gof_thermochron_exh2000_best,heat_flow_thermochron_exh2000_best,heat_flow_thermochron_exh2000_min,heat_flow_thermochron_exh2000_max,gof_thermochron_hf0.065_best,exhumation_thermochron_hf0.065_best,exhumation_thermochron_hf0.065_min,exhumation_thermochron_hf0.065_max
Entlebuch,0.74475788787200004,0.28546208051399996,0.99999999931000005,0.79061836758199999,0.79043065645400001,4.7505081439999994,,,34.399370605000001,17.027673010000001,79.923237587000003,5.0368731850000001,5.0368731850000001,107.24294082200001,,,,1750.0,0.0,4250.0,2750.0,1000.0,2750.0,,,,0.059999999999999998,0.040000000000000001,0.10000000000000001,0.040000000000000001,0.040000000000000001,0.10000000000000001,0.737587227806,0.055,0.055,0.065,34.399370605,1750.0,0.06,17.864088939,39.857559503,1750.0,2750.0,0.045,0.06,0.737587227806,0.055,0.055,0.06,0.679319974529,1750.0,,
Huenenberg,0.8270095081829999,,1.0,,1.0,,,,59.340739732999999,37.253225218000004,89.649598510000004,,,,,,,2250.0,250.0,4750.0,,,,,,,0.059999999999999998,0.040000000000000001,0.10000000000000001,,,,,,,,59.340739733,2250.0,0.06,37.253225218,89.64959851,250.0,4750.0,0.04,0.1,0.999912929143,0.06,0.055,0.075,0.999999505431,1750.0,1500.0,2500.0
MRP025,,,0.99999999555000008,,0.99999999555000008,,,,45.843514107600001,4.5289345217700001,105.274738775,,,,,,,1750.0,0.0,4750.0,,,,,,,0.050000000000000003,0.040000000000000001,0.10000000000000001,,,,,,,,45.8435141076,1750.0,0.05,4.52893452177,105.274738775,0.0,4750.0,0.04,0.1,0.99999999555,0.045,0.04,0.1,0.999999995508,1250.0,0.0,3750.0
MRP170,,,1.0,,1.0,,,,26.659456899600002,4.5289345217700001,110.913277861,,,,,,,500.0,0.0,4750.0,,,,,,,0.065000000000000002,0.040000000000000001,0.10000000000000001,,,,,,,,26.6594568996,500.0,0.065,4.52893452177,110.913277861,0.0,4750.0,0.04,0.1,1.0,0.04,0.04,0.1,1.0,500.0,0.0,4000.0
MRP172,,,1.0,,1.0,,,,85.528387513799998,44.066736237600004,114.30013448,,,,,,,1750.0,1000.0,4750.0,,,,,,,0.089999999999999997,0.040000000000000001,0.10000000000000001,,,,,,,,85.5283875138,1750.0,0.09,44.0667362376,114.30013448,1000.0,4750.0,0.04,0.1,1.0,0.085,0.045,0.1,1.0,2750.0,1500.0,4250.0
MRP174,,,1.0,,1.0,,,,98.035926780799997,89.481523352800011,123.325850804,,,,,,,2000.0,2000.0,4750.0,,,,,,,0.095000000000000001,0.044999999999999998,0.10000000000000001,,,,,,,,98.0359267808,2000.0,0.095,89.4815233528,123.325850804,2000.0,4750.0,0.045,0.1,1.0,0.095,0.095,0.1,1.0,3500.0,3250.0,4500.0
RH10,,,0.65335993746900001,,0.65335993746900001,,,,110.09477402899999,,,,,,,,,2750.0,,,,,,,,,0.085000000000000006,,,,,,,,,,110.094774029,2750.0,0.085,,,,,,,0.531120727019,0.1,,,0.611894513678,3750.0,,
RH15,,,0.55337164470400002,,0.55337164470400002,,,,110.09477402899999,,,,,,,,,2750.0,,,,,,,,,0.085000000000000006,,,,,,,,,,110.094774029,2750.0,0.085,,,,,,,0.397144817482,0.1,,,0.469645325781,3750.0,,
RH30a,,,0.90823172849299993,0.97322309485599989,0.73851908459099991,,,,111.35843467299999,88.58515137389999,124.859660711,64.004731001799996,42.714144757100001,159.57942214299999,,,,2500.0,2000.0,4750.0,1000.0,1000.0,4750.0,,,,0.089999999999999997,0.044999999999999998,0.10000000000000001,0.095000000000000001,0.040000000000000001,0.10000000000000001,0.973223094856,0.05,0.05,0.1,112.191923698,2750.0,0.085,110.648685895,124.859660711,2250.0,4500.0,0.06,0.1,0.553546987266,0.1,,,0.711672988162,4000.0,4000.0,4250.0
RH30b,,,0.80788011817399996,0.86607900960800011,0.379347744042,,,,118.22286366500001,103.964828661,119.754664315,63.410930274599998,49.578573746700002,132.074266518,,,,2500.0,2250.0,4500.0,1750.0,1250.0,4750.0,,,,0.095000000000000001,0.055,0.10000000000000001,0.070000000000000007,0.040000000000000001,0.10000000000000001,0.80508569199,0.065,0.055,0.1,122.158581141,4500.0,0.065,,,,,,,0.122957020859,0.1,,,0.379347744042,4500.0,,
