well,depth_top,depth_bottom,strat_unit,stage,age_min,age_max,lithology,lower_contact,thrust_phase,reference
Altishofen,0,25,Quaternary,,,,,stratigraphic,,Kopp1952
Altishofen,25,322,OMM,,,,,stratigraphic,,Kopp1953
Altishofen,322,842,USM-II,,,,,stratigraphic,,Kopp1954
Altishofen,842,1030,USM-I-II,,,,,stratigraphic,,Kopp1955
Altishofen,1030,1302,USM-I,,,,,stratigraphic,,Kopp1956
Altishofen,1302,1400,Kimm,,,,,stratigraphic,,Kopp1957
Boswil,0,15,Quaternary,,,,,stratigraphic,,Lemckeetal1968
Boswil,15,345,OSM,,,,,stratigraphic,,Lemckeetal1968
Boswil,345,1822.5,USM-I-II,,,,,stratigraphic,,Lemckeetal1968
Boswil,1822.5,1836.2,Kimm,,,,,stratigraphic,,Lemckeetal1968
Chapelle,0,17,Quaternary,,,,,stratigraphic,,Lemcke1959
Chapelle,17,112,OMM,,,,,stratigraphic,,Lemcke1959
Chapelle,112,1440.5,USM-I-II,,,,,stratigraphic,,Lemcke1959
Entlebuch,1550,1742,USM-Ie,,,,,stratigraphic,,Vollmayr_Wendt
Entlebuch,1742,1930,USM-Ic,,,,,stratigraphic,,Vollmayr_Wendt
Entlebuch,1930,3900,USM-Ib,,,,,stratigraphic,,Vollmayr_Wendt
Entlebuch,3900,4343.5,USM-Ia,,,,,stratigraphic,,Vollmayr_Wendt
Entlebuch,0,29.5,Quaternary,,,,,stratigraphic,,Vollmayr_Wendt
Entlebuch,29.5,85,USM-Ib,,,,,thrust,,Vollmayr_Wendt
Entlebuch,85,175,USM-Id,,,,,stratigraphic,,Vollmayr_Wendt
Entlebuch,175,250,USM-Ic,,,,,thrust,,Vollmayr_Wendt
Entlebuch,250,782,USM-Id,,,,,stratigraphic,,Vollmayr_Wendt
Entlebuch,782,880,USM-Ic,,,,,thrust,,Vollmayr_Wendt
Entlebuch,880,1195,USM-Id,,,,,thrust,,Vollmayr_Wendt
Entlebuch,1195,1445,USM-Ib,,,,,thrust,,Vollmayr_Wendt
Entlebuch,1445,1550,USM-Ic,,,,,main_thrust,,Vollmayr_Wendt
Herdern,0,490,OSM,,,,,stratigraphic,,Leuetal2001
Herdern,490,697,OMM,,,,,stratigraphic,,Leuetal2001
Herdern,697,1297,USM-I-II,,,,,stratigraphic,,Leuetal2001
Herdern,1297,2130,Kimm,,,,,stratigraphic,,Leuetal2001
Herdern,2130,2400,Base,,,,,stratigraphic,,Leuetal2001
Huenenberg,0,2,Quaternary,,,,,stratigraphic,,Lemckeetal1968
Huenenberg,2,372,OSM,,,,,stratigraphic,,Lemckeetal1968
Huenenberg,372,1340,OMM,,,,,stratigraphic,,Lemckeetal1968
Huenenberg,1340,3259,USM-I-II,,,,,stratigraphic,,Lemckeetal1968
Lindau,0,400,OSM,,,,,stratigraphic,,Leuetal2001
Lindau,400,515,OMM,,,,,stratigraphic,,Leuetal2001
Lindau,515,1700,USM-I-II,,,,,stratigraphic,,Leuetal2001
Lindau,1700,2400,Kimm,,,,,stratigraphic,,Leuetal2001
Linden,0,26.7,Quaternary,,,,,stratigraphic,,Maureretal1978
Linden,26.7,888,OMM,,,,,stratigraphic,,Maureretal1978
Linden,888,4248,USM-I-II,,,,,stratigraphic,,Maureretal1978
Rigi,0,750,USM-Ic,,,,,stratigraphic,,
Rigi,750,1350,USM-Ib,,,,,stratigraphic,,
Rigi,1350,2000,USM-Ia,,,,,stratigraphic,,
Savigny,0,17,Quaternary,,,,,stratigraphic,,Lemcke1963
Savigny,17,655,Savigny_thrust_1,,,,,,thrust_phase_1,Lemcke1963
Savigny,655,895,Savigny_thrust_2,,,,,,thrust_phase_1,Lemcke1963
Savigny,895,1323,USM-II,,,,,stratigraphic,,Lemcke1963
Savigny,1323,1660,USM-Ic,,,,,stratigraphic,,Lemcke1963
Savigny,1660,2307,USM-Ib,,,,,stratigraphic,,Lemcke1963
Savigny,2307,2321,USM-Ia,,,,,stratigraphic,,Lemcke1963
Thun,0,33,Quaternary,,,,,stratigraphic,,Micholet1992
Thun,33,1180,USM-Id,,,,,stratigraphic,,Micholet1992
Thun,1180,1359,USM-Ic,,,,,stratigraphic,,Micholet1992
Thun,1359,2282,USM-Ib,,,,,stratigraphic,,Micholet1992
Thun,2282,4800,USM-Ia,,,,,stratigraphic,,Micholet1992
Tuggen,0,236,Quaternary,,,,,stratigraphic,,Handtke1959
