tectonic_unit,strat_unit,sample_id,sample_id2,outcrop_or_borehole,x_swiss_coords,y_swiss_coords,long,lat,elevation,depth,Rr,s,n,A,MA,source
"Plateau Molass",OMM,RS16,,outcrop,476600,106900,5.842767,46.102288,400,0,0.4,0.07,99,2,V,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",OMM,RS36,,outcrop,484550,97400,5.947893,46.018256,340,0,0.35,0.08,100,2,V,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",OMM,RS37,,outcrop,484550,97400,5.947893,46.018256,340,0,0.45,0.04,50,0,V,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",OMM,RS39,,outcrop,484600,97400,5.948539,46.018265,340,0,0.37,0.04,51,2,V,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",OMM,RS40,,outcrop,484600,97400,5.948539,46.018265,340,0,0.28,0.07,100,3,V,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",OMM,RS41,,outcrop,484650,97400,5.949184,46.018273,340,0,0.39,0.04,49,2,V,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",OMM,RS65,,outcrop,475100,99600,5.825318,46.036358,420,0,0.43,0.03,50,0,V,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",OMM,RS66,,outcrop,476100,93100,5.839944,45.978085,,0,0.43,0.03,49,1,C,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",OMM,RS67,,outcrop,476200,89600,5.842154,45.946625,260,0,0.37,0.06,60,2,C,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",OMM,RS68,,outcrop,480850,87700,5.902584,45.930374,350,0,0.41,0.04,50,2,C,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",OMM,RS69,,outcrop,480850,87700,5.902584,45.930374,350,0,0.42,0.03,50,1,C,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",OMM,RS71,,outcrop,482350,78400,5.924234,45.846996,390,0,0.32,0.05,50,1,C,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",USM,RS3,,outcrop,489970,119055,6.012775,46.213928,282,0,0.48,0.05,50,1,C,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",USM,RS6,,outcrop,489970,119055,6.012775,46.213928,275,0,0.47,0.05,37,3,C,"PhD thesis Roland Schegg (1993)"
"Plateau Molass",USM,RS206,,outcrop,497750,11800,6.136676,45.250536,392,0,0.48,0.03,50,0,C,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS1,,outcrop,514200,115800,6.327321,46.188181,800,0,0.57,0.02,50,0,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,Weid93,,outcrop,506000,112000,6.221891,46.152905,600,0,0.53,0.04,51,1,C,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS81,,outcrop,495900,84700,6.097229,45.905878,420,0,0.51,0.05,100,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS82,,outcrop,496600,98200,6.103282,46.027406,760,0,0.47,0.03,50,0,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS83,,outcrop,497800,96650,6.119114,46.013648,605,0,0.52,0.04,50,0,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS89,,outcrop,498950,102050,6.132797,46.06239,870,0,0.51,0.04,51,0,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS91,,outcrop,500000,103250,6.146108,46.07334,860,0,0.54,0.06,50,2,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS92,,outcrop,500200,103450,6.14865,46.075169,860,0,0.5,0.08,100,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS93,,outcrop,500750,104000,6.155641,46.080197,850,0,0.48,0.04,50,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS94,,outcrop,501550,103600,6.166065,46.076716,760,0,0.5,0.04,50,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS96,,outcrop,502850,103400,6.182908,46.075106,810,0,0.79,0.07,53,2,VI,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS102,,outcrop,500250,93920,6.15132,45.989461,640,0,1.41,0.13,50,3,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS128,,outcrop,506600,97900,6.232466,46.026167,670,0,1.25,0.07,50,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS137,,outcrop,507425,113250,6.240086,46.164346,460,0,0.55,0.04,21,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS139,,outcrop,507425,112950,6.240145,46.161648,420,0,0.71,0.05,50,2,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS140,,outcrop,505950,112150,6.221213,46.154248,590,0,1.01,0.07,24,3,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS228,,outcrop,506975,113500,6.234211,46.166533,605,0,0.6,0.1,29,3,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS229,,outcrop,507125,113200,6.236212,46.163855,510,0,0.51,0.05,30,2,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS234,,outcrop,506650,112575,6.230188,46.158168,460,0,0.54,0.05,50,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS235,,outcrop,506650,112575,6.230188,46.158168,465,0,0.54,0.03,52,2,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS236,,outcrop,506650,112250,6.230253,46.155244,480,0,0.62,0.04,52,2,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",UMM,RS109,,outcrop,504750,91400,6.209895,45.967445,680,0,0.56,0.09,101,2,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",UMM,RS112,,outcrop,504950,91600,6.212435,45.969272,700,0,0.53,0.06,50,1,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",UMM,RS129,,outcrop,510300,98850,6.28006,46.035214,820,0,0.5,0.04,50,0,V,"PhD thesis Roland Schegg (1993)"
